<li>Documentation&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Lain-lain</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Security : Kensington Lock, User PIN, Security Bar&nbsp;&nbsp;</li>
<li>Networking Features : Control over IP, Status, Embedded Web Page&nbsp;&nbsp;</li>
<li>Projection Presets : Presentation, Video, Bright, Whiteboard, Blackboard, Beige Wall, User&nbsp;&nbsp;</li>
<li>Digital Keystone Correction (Vert.) : +/- 40%&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
</tbody>
</table>",7300000,0,0,1129,53,USD,22,infokus-projector-in124st,INFOCUS Projector IN124ST,"<p>XGA 1024 x 768, WUXGA (1920 x 1200), 3000 lumens Normal Mode (2500 lumens Eco Mode) </p>","<table class=""spesifications"" style=""width: 100%;"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Sistem Projector</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">DLP Technologyξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Resolusi Native</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">XGA 1024 x 768ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Maks. Resolusi</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">WUXGA (1920 x 1200)ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Brightness</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">3000 lumens Normal Mode (2500 lumens Eco Mode)ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Kontras</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">4000:1ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Aspek</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">4:3ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Tipe Lampu</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Lamp Life
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Eco : 5000 Hoursξξ</li>
<li>High : 3500 Hoursξξ</li>
</ul>
</div>
ξ</li>
</ul>
</div>
ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Input</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
